Anchor_RGB,Color_A_RGB,Color_B_RGB,Preference
"[0.37588537, 0.57785714, 0.45086426]","[0.10546273, 0.6624454, 0.6309074]","[0.27003357, 0.5595679, 0.13965985]",A
"[0.37588537, 0.57785714, 0.45086426]","[0.10546273, 0.6624454, 0.6309074]","[0.27003357, 0.5595679, 0.13965985]",B
"[0.088515446, 0.35437348, 0.62253803]","[0.12799637, 0.49382865, 0.9698515]","[0.05432646, 0.16309413, 0.5414287]",A
"[0.0838569, 0.7937982, 0.15885964]","[0.668128, 0.84952015, 0.04298523]","[0.09247911, 0.69976723, 0.46741846]",B
"[0.0838569, 0.7937982, 0.15885964]","[0.668128, 0.84952015, 0.04298523]","[0.09247911, 0.69976723, 0.46741846]",A
"[0.39021787, 0.009278708, 0.76804304]","[0.19300914, 0.2440832, 0.56626064]","[0.7244937, 0.034728214, 0.82926846]",B
"[0.39021787, 0.009278708, 0.76804304]","[0.19300914, 0.2440832, 0.56626064]","[0.7244937, 0.034728214, 0.82926846]",B
"[0.31995296, 0.6207152, 0.74678284]","[0.48737288, 0.7863191, 0.80465835]","[0.12799637, 0.49382865, 0.9698515]",B
"[0.15421325, 0.34255186, 0.32459027]","[0.09815677, 0.21912201, 0.087746084]","[0.20716105, 0.52405834, 0.5481512]",B
"[0.15421325, 0.34255186, 0.32459027]","[0.09815677, 0.21912201, 0.087746084]","[0.20716105, 0.52405834, 0.5481512]",B
"[0.67848116, 0.0985581, 0.2838054]","[0.46554244, 0.07704153, 0.34551817]","[0.8521462, 0.2264191, 0.298402]",B
"[0.24959514, 0.7081251, 0.9420213]","[0.48737288, 0.7863191, 0.80465835]","[0.12799637, 0.49382865, 0.9698515]",B
"[0.28697988, 0.48464805, 0.11372751]","[0.22014888, 0.6117759, 0.35339692]","[0.46079788, 0.4206133, 0.029058104]",A
"[0.8559879, 0.81416804, 0.6428533]","[0.72911435, 0.5993284, 0.38963792]","[0.95637697, 0.9993283, 0.5361718]",A
"[0.91087556, 0.30045265, 0.8716024]","[0.7244937, 0.034728214, 0.82926846]","[0.7912497, 0.56437504, 0.7975513]",A
"[0.48233998, 0.87730044, 0.40109828]","[0.7490685, 0.7837343, 0.59345263]","[0.09247911, 0.69976723, 0.46741846]",B
"[0.48233998, 0.87730044, 0.40109828]","[0.7490685, 0.7837343, 0.59345263]","[0.09247911, 0.69976723, 0.46741846]",B
"[0.5881263, 0.15376812, 0.9750125]","[0.15995379, 0.2072928, 0.85230213]","[0.77673715, 0.38801366, 0.94900244]",A
"[0.5881263, 0.15376812, 0.9750125]","[0.15995379, 0.2072928, 0.85230213]","[0.77673715, 0.38801366, 0.94900244]",A
"[0.44641134, 0.25963828, 0.67236596]","[0.13329014, 0.025362235, 0.65349704]","[0.52786463, 0.40348682, 0.5669584]",A
"[0.87545043, 0.9298564, 0.08470315]","[0.51949245, 0.9639366, 0.1516352]","[0.80153733, 0.72509897, 0.40423805]",A
"[0.87545043, 0.9298564, 0.08470315]","[0.51949245, 0.9639366, 0.1516352]","[0.80153733, 0.72509897, 0.40423805]",B
"[0.7348273, 0.34833783, 0.12538359]","[0.9918175, 0.36405364, 0.26484308]","[0.5023952, 0.30688655, 0.22833672]",A
"[0.7348273, 0.34833783, 0.12538359]","[0.9918175, 0.36405364, 0.26484308]","[0.5023952, 0.30688655, 0.22833672]",A
"[0.18078838, 0.9582538, 0.5999464]","[0.51949245, 0.9639366, 0.1516352]","[0.31172356, 0.7356086, 0.3700459]",B
"[0.97074074, 0.050747365, 0.7172707]","[0.7244937, 0.034728214, 0.82926846]","[0.88969153, 0.49813023, 0.6341969]",A
"[0.97074074, 0.050747365, 0.7172707]","[0.7244937, 0.034728214, 0.82926846]","[0.88969153, 0.49813023, 0.6341969]",A
"[0.97074074, 0.050747365, 0.7172707]","[0.7244937, 0.034728214, 0.82926846]","[0.88969153, 0.49813023, 0.6341969]",A
"[0.4173575, 0.6269752, 0.05493518]","[0.69753796, 0.8206668, 0.2569443]","[0.11427693, 0.5011741, 0.042286932]",B
"[0.110428095, 0.4134403, 0.88338155]","[0.15995379, 0.2072928, 0.85230213]","[0.28301662, 0.5841398, 0.9606193]",A
"[0.10546273, 0.6624454, 0.6309074]","[0.1686695, 0.6430554, 0.4288002]","[0.1431553, 0.77440065, 0.89425623]",B
"[0.42354476, 0.37793443, 0.30356357]","[0.5023952, 0.30688655, 0.22833672]","[0.24562381, 0.36273795, 0.10104874]",B
"[0.9930558, 0.7997586, 0.9540006]","[0.96115196, 0.53037006, 0.8369326]","[0.9048366, 0.78054655, 0.7460849]",B
"[0.9930558, 0.7997586, 0.9540006]","[0.96115196, 0.53037006, 0.8369326]","[0.9048366, 0.78054655, 0.7460849]",A
"[0.15995379, 0.2072928, 0.85230213]","[0.088515446, 0.35437348, 0.62253803]","[0.5589108, 0.1726117, 0.7006287]",B
"[0.72911435, 0.5993284, 0.38963792]","[0.8245373, 0.6058349, 0.5270138]","[0.6886413, 0.66410196, 0.12018794]",B
"[0.63367933, 0.48283792, 0.75609356]","[0.456827, 0.5086457, 0.93564224]","[0.96115196, 0.53037006, 0.8369326]",B
"[0.2773397, 0.11989955, 0.57893556]","[0.23526198, 0.14370413, 0.2768239]","[0.42119908, 0.285564, 0.901949]",B
"[0.2773397, 0.11989955, 0.57893556]","[0.23526198, 0.14370413, 0.2768239]","[0.42119908, 0.285564, 0.901949]",A
"[0.2773397, 0.11989955, 0.57893556]","[0.23526198, 0.14370413, 0.2768239]","[0.42119908, 0.285564, 0.901949]",B
"[0.2773397, 0.11989955, 0.57893556]","[0.23526198, 0.14370413, 0.2768239]","[0.42119908, 0.285564, 0.901949]",B
"[0.456827, 0.5086457, 0.93564224]","[0.63367933, 0.48283792, 0.75609356]","[0.22411975, 0.45713153, 0.6974813]",A
"[0.456827, 0.5086457, 0.93564224]","[0.63367933, 0.48283792, 0.75609356]","[0.22411975, 0.45713153, 0.6974813]",B
"[0.0092836255, 0.294446, 0.014453025]","[0.14699696, 0.18610883, 0.047300573]","[0.11427693, 0.5011741, 0.042286932]",B
"[0.0092836255, 0.294446, 0.014453025]","[0.14699696, 0.18610883, 0.047300573]","[0.11427693, 0.5011741, 0.042286932]",B
"[0.56332296, 0.9027771, 0.7274785]","[0.050477147, 0.75139254, 0.38447642]","[0.7490685, 0.7837343, 0.59345263]",B
"[0.044231903, 0.9121354, 0.7860945]","[0.18916754, 0.8433832, 0.46875662]","[0.43631324, 0.94259906, 0.97759956]",A
"[0.044231903, 0.9121354, 0.7860945]","[0.18916754, 0.8433832, 0.46875662]","[0.43631324, 0.94259906, 0.97759956]",A
"[0.49121457, 0.12829578, 0.14465407]","[0.5671642, 0.056757882, 0.32339653]","[0.7037853, 0.07162507, 0.009299576]",B
"[0.93587846, 0.5494888, 0.61143845]","[0.96115196, 0.53037006, 0.8369326]","[0.8245373, 0.6058349, 0.5270138]",B
"[0.93587846, 0.5494888, 0.61143845]","[0.96115196, 0.53037006, 0.8369326]","[0.8245373, 0.6058349, 0.5270138]",A
"[0.31172356, 0.7356086, 0.3700459]","[0.67463243, 0.93995386, 0.62624186]","[0.27003357, 0.5595679, 0.13965985]",A
"[0.22411975, 0.45713153, 0.6974813]","[0.06278111, 0.6053623, 0.8631712]","[0.20193668, 0.27504843, 0.81234443]",A
