Anchor_RGB,Color_A_RGB,Color_B_RGB,Preference
"[0.23542374, 0.9341055, 0.6495565]","[0.96182555, 0.9228075, 0.40733021]","[0.017665215, 0.5161871, 0.08075563]",B
"[0.68129075, 0.3342067, 0.5480721]","[0.056373864, 0.05975916, 0.966901]","[0.5035976, 0.5814055, 0.8986741]",B
"[0.68129075, 0.3342067, 0.5480721]","[0.056373864, 0.05975916, 0.966901]","[0.5035976, 0.5814055, 0.8986741]",A
"[0.25547644, 0.7396303, 0.2772927]","[0.8623258, 0.7167938, 0.34734693]","[0.08025423, 0.85714185, 0.8575892]",B
"[0.9913573, 0.77610964, 0.026282538]","[0.9463457, 0.46154234, 0.19791079]","[0.46565795, 0.7780646, 0.3041937]",B
"[0.27001014, 0.15336369, 0.10962131]","[0.11066975, 0.24627584, 0.46018314]","[0.80407375, 0.2882696, 0.10197684]",B
"[0.27001014, 0.15336369, 0.10962131]","[0.11066975, 0.24627584, 0.46018314]","[0.80407375, 0.2882696, 0.10197684]",B
"[0.27001014, 0.15336369, 0.10962131]","[0.11066975, 0.24627584, 0.46018314]","[0.80407375, 0.2882696, 0.10197684]",B
"[0.6643155, 0.81085485, 0.8384238]","[0.92882776, 0.6011724, 0.7875501]","[0.42037526, 0.8988452, 0.46218628]",B
"[0.6643155, 0.81085485, 0.8384238]","[0.92882776, 0.6011724, 0.7875501]","[0.42037526, 0.8988452, 0.46218628]",A
"[0.51785666, 0.05780414, 0.73783886]","[0.7437619, 0.04211244, 0.26331916]","[0.64000505, 0.5391971, 0.9577729]",A
"[0.51785666, 0.05780414, 0.73783886]","[0.7437619, 0.04211244, 0.26331916]","[0.64000505, 0.5391971, 0.9577729]",A
"[0.51785666, 0.05780414, 0.73783886]","[0.7437619, 0.04211244, 0.26331916]","[0.64000505, 0.5391971, 0.9577729]",A
"[0.42037526, 0.8988452, 0.46218628]","[0.6643155, 0.81085485, 0.8384238]","[0.43707582, 0.48437542, 0.17476404]",B
"[0.7556316, 0.21754453, 0.9324305]","[0.24768455, 0.13216797, 0.4021231]","[0.6643155, 0.81085485, 0.8384238]",A
"[0.1816237, 0.87265056, 0.14064163]","[0.5981779, 0.55474013, 0.04192325]","[0.27422488, 0.9129427, 0.8619535]",A
"[0.5735108, 0.64284426, 0.39172003]","[0.99996907, 0.66262627, 0.29621318]","[0.03178983, 0.9779072, 0.87506884]",A
"[0.7356462, 0.39760014, 0.05478199]","[0.9913573, 0.77610964, 0.026282538]","[0.71729875, 0.309984, 0.37882292]",A
"[0.7356462, 0.39760014, 0.05478199]","[0.9913573, 0.77610964, 0.026282538]","[0.71729875, 0.309984, 0.37882292]",A
"[0.32563362, 0.5512681, 0.7683853]","[0.29513305, 0.21168323, 0.64779776]","[0.08025423, 0.85714185, 0.8575892]",B
"[0.32563362, 0.5512681, 0.7683853]","[0.29513305, 0.21168323, 0.64779776]","[0.08025423, 0.85714185, 0.8575892]",B
"[0.32563362, 0.5512681, 0.7683853]","[0.29513305, 0.21168323, 0.64779776]","[0.08025423, 0.85714185, 0.8575892]",B
"[0.0038480898, 0.11813978, 0.30567774]","[0.4786846, 0.09633622, 0.2055862]","[0.25894338, 0.45184532, 0.5244823]",A
"[0.0038480898, 0.11813978, 0.30567774]","[0.4786846, 0.09633622, 0.2055862]","[0.25894338, 0.45184532, 0.5244823]",B
"[0.0038480898, 0.11813978, 0.30567774]","[0.4786846, 0.09633622, 0.2055862]","[0.25894338, 0.45184532, 0.5244823]",B
"[0.9373135, 0.9644861, 0.51932055]","[0.99996907, 0.66262627, 0.29621318]","[0.03178983, 0.9779072, 0.87506884]",B
"[0.03178983, 0.9779072, 0.87506884]","[0.039413545, 0.5833568, 0.67740357]","[0.9373135, 0.9644861, 0.51932055]",A
"[0.03178983, 0.9779072, 0.87506884]","[0.039413545, 0.5833568, 0.67740357]","[0.9373135, 0.9644861, 0.51932055]",A
"[0.7878152, 0.82749504, 0.25377873]","[0.656814, 0.6273624, 0.6085837]","[0.1909551, 0.56783295, 0.32375634]",B
"[0.7878152, 0.82749504, 0.25377873]","[0.656814, 0.6273624, 0.6085837]","[0.1909551, 0.56783295, 0.32375634]",B
"[0.7878152, 0.82749504, 0.25377873]","[0.656814, 0.6273624, 0.6085837]","[0.1909551, 0.56783295, 0.32375634]",B
"[0.1909551, 0.56783295, 0.32375634]","[0.45039135, 0.36409763, 0.09062388]","[0.27422488, 0.9129427, 0.8619535]",B
"[0.63598275, 0.17166756, 0.47226858]","[0.9753435, 0.3621464, 0.36070162]","[0.16417511, 0.27143443, 0.49581265]",B
"[0.30371395, 0.76227754, 0.69659823]","[0.5480509, 0.916657, 0.07286677]","[0.3123219, 0.6725217, 0.99698734]",B
"[0.9431046, 0.7219835, 0.9455962]","[0.8880169, 0.5335144, 0.438886]","[0.461636, 0.40169594, 0.7501478]",B
"[0.9463457, 0.46154234, 0.19791079]","[0.9913573, 0.77610964, 0.026282538]","[0.8120674, 0.15141246, 0.34164363]",A
"[0.30830055, 0.053967737, 0.4489229]","[0.8253677, 0.03111942, 0.42571267]","[0.25894338, 0.45184532, 0.5244823]",A
"[0.20237091, 0.3736756, 0.5716771]","[0.42493874, 0.6990403, 0.9219595]","[0.4432483, 0.1962203, 0.35299605]",A
"[0.8623258, 0.7167938, 0.34734693]","[0.26297796, 0.8216338, 0.045203455]","[0.8949122, 0.49023664, 0.4056476]",B
"[0.461636, 0.40169594, 0.7501478]","[0.9431046, 0.7219835, 0.9455962]","[0.15702821, 0.16580623, 0.2012219]",A
"[0.461636, 0.40169594, 0.7501478]","[0.9431046, 0.7219835, 0.9455962]","[0.15702821, 0.16580623, 0.2012219]",B
"[0.71729875, 0.309984, 0.37882292]","[0.53205234, 0.44019642, 0.28240815]","[0.51785666, 0.05780414, 0.73783886]",A
"[0.71729875, 0.309984, 0.37882292]","[0.53205234, 0.44019642, 0.28240815]","[0.51785666, 0.05780414, 0.73783886]",B
"[0.71729875, 0.309984, 0.37882292]","[0.53205234, 0.44019642, 0.28240815]","[0.51785666, 0.05780414, 0.73783886]",B
"[0.043206893, 0.20575592, 0.12787421]","[0.25894338, 0.45184532, 0.5244823]","[0.017665215, 0.5161871, 0.08075563]",B
"[0.89063156, 0.8612454, 0.91428435]","[0.47521833, 0.83735985, 0.9535153]","[0.8949122, 0.49023664, 0.4056476]",A
"[0.89063156, 0.8612454, 0.91428435]","[0.47521833, 0.83735985, 0.9535153]","[0.8949122, 0.49023664, 0.4056476]",A
"[0.92528135, 0.2191903, 0.2667684]","[0.5946452, 0.18740503, 0.5290141]","[0.51475894, 0.35209212, 0.1512355]",A
"[0.92528135, 0.2191903, 0.2667684]","[0.5946452, 0.18740503, 0.5290141]","[0.51475894, 0.35209212, 0.1512355]",B
"[0.7480424, 0.66890454, 0.8076009]","[0.6017883, 0.25377226, 0.78911805]","[0.8140826, 0.7852055, 0.672903]",A
"[0.7480424, 0.66890454, 0.8076009]","[0.6017883, 0.25377226, 0.78911805]","[0.8140826, 0.7852055, 0.672903]",A
"[0.5702725, 0.4156072, 0.64451766]","[0.098476745, 0.019224513, 0.63653755]","[0.9753435, 0.3621464, 0.36070162]",A
"[0.49588907, 0.51055545, 0.4308744]","[0.8880169, 0.5335144, 0.438886]","[0.3282742, 0.8513347, 0.37061653]",A
"[0.49588907, 0.51055545, 0.4308744]","[0.8880169, 0.5335144, 0.438886]","[0.3282742, 0.8513347, 0.37061653]",A
"[0.75924546, 0.97370464, 0.17985703]","[0.03178983, 0.9779072, 0.87506884]","[0.72703046, 0.56587785, 0.09967622]",B
"[0.23073985, 0.7336347, 0.23481804]","[0.8623258, 0.7167938, 0.34734693]","[0.08025423, 0.85714185, 0.8575892]",A
"[0.40895545, 0.15989609, 0.71449333]","[0.9393286, 0.09828742, 0.49909374]","[0.24390957, 0.50072426, 0.9185719]",A
"[0.51475894, 0.35209212, 0.1512355]","[0.20550407, 0.044063646, 0.031451397]","[0.9087939, 0.63291013, 0.119727]",B
"[0.42493874, 0.6990403, 0.9219595]","[0.20237091, 0.3736756, 0.5716771]","[0.08886599, 0.7046409, 0.58941865]",A
"[0.24768455, 0.13216797, 0.4021231]","[0.33229625, 0.46892786, 0.8250536]","[0.58850276, 0.24432077, 0.24480061]",A
"[0.24768455, 0.13216797, 0.4021231]","[0.33229625, 0.46892786, 0.8250536]","[0.58850276, 0.24432077, 0.24480061]",A
"[0.77399325, 0.3881537, 0.4566593]","[0.53205234, 0.44019642, 0.28240815]","[0.5600879, 0.14206333, 0.82079667]",B
"[0.77399325, 0.3881537, 0.4566593]","[0.53205234, 0.44019642, 0.28240815]","[0.5600879, 0.14206333, 0.82079667]",B
"[0.4786846, 0.09633622, 0.2055862]","[0.22670546, 0.10238323, 0.69450414]","[0.9573789, 0.13588467, 0.660127]",B
"[0.4786846, 0.09633622, 0.2055862]","[0.22670546, 0.10238323, 0.69450414]","[0.9573789, 0.13588467, 0.660127]",A
"[0.5840591, 0.9394458, 0.9924869]","[0.4465983, 0.9875367, 0.60505944]","[0.5035976, 0.5814055, 0.8986741]",B
"[0.7305633, 0.19201533, 0.5793828]","[0.15090495, 0.23047352, 0.54012203]","[0.97895664, 0.5713183, 0.6130094]",A
"[0.3282742, 0.8513347, 0.37061653]","[0.8623258, 0.7167938, 0.34734693]","[0.21763715, 0.7722708, 0.78402597]",B
"[0.9087939, 0.63291013, 0.119727]","[0.80407375, 0.2882696, 0.10197684]","[0.8321328, 0.94877917, 0.48232752]",A
"[0.9087939, 0.63291013, 0.119727]","[0.80407375, 0.2882696, 0.10197684]","[0.8321328, 0.94877917, 0.48232752]",A
"[0.8768602, 0.27490503, 0.69094914]","[0.34041193, 0.089925356, 0.6185364]","[0.8949122, 0.49023664, 0.4056476]",B
"[0.06039609, 0.68247736, 0.47779644]","[0.35748157, 0.412013, 0.4177324]","[0.75924546, 0.97370464, 0.17985703]",A
"[0.06039609, 0.68247736, 0.47779644]","[0.35748157, 0.412013, 0.4177324]","[0.75924546, 0.97370464, 0.17985703]",A
"[0.36264944, 0.24059074, 0.9400157]","[0.9200785, 0.42557043, 0.8676559]","[0.15702821, 0.16580623, 0.2012219]",A
"[0.36264944, 0.24059074, 0.9400157]","[0.9200785, 0.42557043, 0.8676559]","[0.15702821, 0.16580623, 0.2012219]",A
"[0.8465714, 0.17732924, 0.00792274]","[0.97895664, 0.5713183, 0.6130094]","[0.27001014, 0.15336369, 0.10962131]",B
"[0.21763715, 0.7722708, 0.78402597]","[0.5035976, 0.5814055, 0.8986741]","[0.46565795, 0.7780646, 0.3041937]",A
"[0.390985, 0.33816558, 0.25881845]","[0.3504567, 0.025258176, 0.15475953]","[0.67684805, 0.6073434, 0.3006389]",B
"[0.5433416, 0.74324024, 0.53496134]","[0.010869103, 0.44214764, 0.012423924]","[0.89063156, 0.8612454, 0.91428435]",B
"[0.5433416, 0.74324024, 0.53496134]","[0.010869103, 0.44214764, 0.012423924]","[0.89063156, 0.8612454, 0.91428435]",A
"[0.098476745, 0.019224513, 0.63653755]","[0.2196846, 0.45793483, 0.9869055]","[0.6146806, 0.07851875, 0.31384233]",B
"[0.098476745, 0.019224513, 0.63653755]","[0.2196846, 0.45793483, 0.9869055]","[0.6146806, 0.07851875, 0.31384233]",B
"[0.29513305, 0.21168323, 0.64779776]","[0.4786846, 0.09633622, 0.2055862]","[0.32563362, 0.5512681, 0.7683853]",A
"[0.64261055, 0.8706994, 0.43513152]","[0.72703046, 0.56587785, 0.09967622]","[0.08025423, 0.85714185, 0.8575892]",B
"[0.3947603, 0.9664412, 0.8109113]","[0.2913406, 0.5929324, 0.15625189]","[0.96182555, 0.9228075, 0.40733021]",B
"[0.3947603, 0.9664412, 0.8109113]","[0.2913406, 0.5929324, 0.15625189]","[0.96182555, 0.9228075, 0.40733021]",A
"[0.85010517, 0.549313, 0.561786]","[0.8140826, 0.7852055, 0.672903]","[0.63598275, 0.17166756, 0.47226858]",B
"[0.85010517, 0.549313, 0.561786]","[0.8140826, 0.7852055, 0.672903]","[0.63598275, 0.17166756, 0.47226858]",B
"[0.45039135, 0.36409763, 0.09062388]","[0.58850276, 0.24432077, 0.24480061]","[0.45705017, 0.65676504, 0.0027074916]",B
"[0.45039135, 0.36409763, 0.09062388]","[0.58850276, 0.24432077, 0.24480061]","[0.45705017, 0.65676504, 0.0027074916]",B
"[0.6104002, 0.71050215, 0.86526424]","[0.048262, 0.37601653, 0.73010266]","[0.8140826, 0.7852055, 0.672903]",A
"[0.36642534, 0.61105245, 0.49003333]","[0.19857873, 0.99346167, 0.123281635]","[0.16082159, 0.5450584, 0.743489]",B
"[0.056373864, 0.05975916, 0.966901]","[0.7910572, 0.113815084, 0.5012128]","[0.64689225, 0.4965297, 0.88554066]",A
"[0.88039315, 0.9047027, 0.23907508]","[0.3947603, 0.9664412, 0.8109113]","[0.4127478, 0.5354656, 0.2314304]",A
"[0.88039315, 0.9047027, 0.23907508]","[0.3947603, 0.9664412, 0.8109113]","[0.4127478, 0.5354656, 0.2314304]",A
"[0.9130575, 0.015576377, 0.5759335]","[0.34041193, 0.089925356, 0.6185364]","[0.9431046, 0.7219835, 0.9455962]",A
"[0.33229625, 0.46892786, 0.8250536]","[0.47521833, 0.83735985, 0.9535153]","[0.098476745, 0.019224513, 0.63653755]",B
"[0.58051294, 0.3184386, 0.45223355]","[0.06619355, 0.25572354, 0.50546956]","[0.8880169, 0.5335144, 0.438886]",A
"[0.58051294, 0.3184386, 0.45223355]","[0.06619355, 0.25572354, 0.50546956]","[0.8880169, 0.5335144, 0.438886]",A
"[0.48272002, 0.72393465, 0.7244763]","[0.24390957, 0.50072426, 0.9185719]","[0.02615096, 0.91861206, 0.3506273]",A
"[0.15702821, 0.16580623, 0.2012219]","[0.36264944, 0.24059074, 0.9400157]","[0.53907704, 0.12399724, 0.020099]",A
"[0.778274, 0.7603264, 0.97341275]","[0.7627785, 0.34664926, 0.64009196]","[0.21763715, 0.7722708, 0.78402597]",A
"[0.778274, 0.7603264, 0.97341275]","[0.7627785, 0.34664926, 0.64009196]","[0.21763715, 0.7722708, 0.78402597]",A
"[0.24390957, 0.50072426, 0.9185719]","[0.38773957, 0.009718947, 0.84408104]","[0.48272002, 0.72393465, 0.7244763]",A
"[0.42895997, 0.07444716, 0.38213387]","[0.69827247, 0.4559798, 0.7177738]","[0.6610784, 0.005377057, 0.086337045]",A
"[0.26297796, 0.8216338, 0.045203455]","[0.010869103, 0.44214764, 0.012423924]","[0.27422488, 0.9129427, 0.8619535]",B
"[0.99996907, 0.66262627, 0.29621318]","[0.9753435, 0.3621464, 0.36070162]","[0.88039315, 0.9047027, 0.23907508]",A
"[0.9824903, 0.20207778, 0.06726286]","[0.84061867, 0.61691, 0.21128859]","[0.8253677, 0.03111942, 0.42571267]",A
"[0.27800006, 0.28241214, 0.31834358]","[0.16082159, 0.5450584, 0.743489]","[0.6610784, 0.005377057, 0.086337045]",B
"[0.27800006, 0.28241214, 0.31834358]","[0.16082159, 0.5450584, 0.743489]","[0.6610784, 0.005377057, 0.086337045]",B
"[0.4127478, 0.5354656, 0.2314304]","[0.88039315, 0.9047027, 0.23907508]","[0.23542374, 0.9341055, 0.6495565]",A
"[0.4127478, 0.5354656, 0.2314304]","[0.88039315, 0.9047027, 0.23907508]","[0.23542374, 0.9341055, 0.6495565]",B
"[0.8321328, 0.94877917, 0.48232752]","[0.9087939, 0.63291013, 0.119727]","[0.27422488, 0.9129427, 0.8619535]",A
"[0.7627785, 0.34664926, 0.64009196]","[0.8880169, 0.5335144, 0.438886]","[0.02992717, 0.29224572, 0.8284412]",B
"[0.1730121, 0.6891018, 0.4118617]","[0.6643155, 0.81085485, 0.8384238]","[0.8709261, 0.8454773, 0.08406697]",B
"[0.1730121, 0.6891018, 0.4118617]","[0.6643155, 0.81085485, 0.8384238]","[0.8709261, 0.8454773, 0.08406697]",B
"[0.1730121, 0.6891018, 0.4118617]","[0.6643155, 0.81085485, 0.8384238]","[0.8709261, 0.8454773, 0.08406697]",B
"[0.56600916, 0.79540336, 0.16078287]","[0.03178983, 0.9779072, 0.87506884]","[0.84061867, 0.61691, 0.21128859]",B
"[0.3180061, 0.8830734, 0.53848594]","[0.5840591, 0.9394458, 0.9924869]","[0.08427527, 0.47886777, 0.3373563]",B
"[0.92882776, 0.6011724, 0.7875501]","[0.95061, 0.84321725, 0.74798995]","[0.69124764, 0.10824451, 0.9792302]",A
"[0.039413545, 0.5833568, 0.67740357]","[0.03178983, 0.9779072, 0.87506884]","[0.14291129, 0.32834917, 0.7780096]",A
"[0.7137527, 0.93215424, 0.92646056]","[0.14668746, 0.9607547, 0.29293346]","[0.11444476, 0.6208703, 0.96912557]",B
"[0.19857873, 0.99346167, 0.123281635]","[0.1909551, 0.56783295, 0.32375634]","[0.8140826, 0.7852055, 0.672903]",A
"[0.3807149, 0.4275216, 0.583914]","[0.40324995, 0.59531105, 0.511615]","[0.71729875, 0.309984, 0.37882292]",B
"[0.3807149, 0.4275216, 0.583914]","[0.40324995, 0.59531105, 0.511615]","[0.71729875, 0.309984, 0.37882292]",B
"[0.55654055, 0.5220484, 0.3741716]","[0.85010517, 0.549313, 0.561786]","[0.26297796, 0.8216338, 0.045203455]",A
"[0.95061, 0.84321725, 0.74798995]","[0.92882776, 0.6011724, 0.7875501]","[0.75924546, 0.97370464, 0.17985703]",A
"[0.9393286, 0.09828742, 0.49909374]","[0.80407375, 0.2882696, 0.10197684]","[0.40895545, 0.15989609, 0.71449333]",B
"[0.64000505, 0.5391971, 0.9577729]","[0.9393286, 0.09828742, 0.49909374]","[0.34642142, 0.6545088, 0.6651667]",B
"[0.64000505, 0.5391971, 0.9577729]","[0.9393286, 0.09828742, 0.49909374]","[0.34642142, 0.6545088, 0.6651667]",A
"[0.55208653, 0.29420075, 0.6228243]","[0.92882776, 0.6011724, 0.7875501]","[0.15702821, 0.16580623, 0.2012219]",B
"[0.55208653, 0.29420075, 0.6228243]","[0.92882776, 0.6011724, 0.7875501]","[0.15702821, 0.16580623, 0.2012219]",A
"[0.38419318, 0.63876754, 0.335018]","[0.45039135, 0.36409763, 0.09062388]","[0.7137527, 0.93215424, 0.92646056]",A
"[0.19523561, 0.19006029, 0.87194425]","[0.6146806, 0.07851875, 0.31384233]","[0.16082159, 0.5450584, 0.743489]",A
"[0.87250835, 0.25079134, 0.9813055]","[0.33970612, 0.6430791, 0.7499834]","[0.9254129, 0.24717982, 0.276525]",A
"[0.3944778, 0.23894595, 0.9186297]","[0.9023496, 0.26987457, 0.40740585]","[0.27162564, 0.6660152, 0.92617345]",A
"[0.3944778, 0.23894595, 0.9186297]","[0.9023496, 0.26987457, 0.40740585]","[0.27162564, 0.6660152, 0.92617345]",A
"[0.80302256, 0.6565454, 0.25379497]","[0.068098895, 0.9801436, 0.024129212]","[0.38322264, 0.32284674, 0.084623836]",B
"[0.80302256, 0.6565454, 0.25379497]","[0.068098895, 0.9801436, 0.024129212]","[0.38322264, 0.32284674, 0.084623836]",B
"[0.71875674, 0.4368041, 0.67966753]","[0.9984193, 0.19372565, 0.078812405]","[0.014171267, 0.07339808, 0.7417482]",B
"[0.068098895, 0.9801436, 0.024129212]","[0.9498392, 0.76067525, 0.17588964]","[0.53922975, 0.96229935, 0.9733129]",B
"[0.56271434, 0.7566047, 0.78924096]","[0.94765127, 0.14166592, 0.76632893]","[0.14140482, 0.9143655, 0.2708043]",A
"[0.27594486, 0.062122066, 0.29478443]","[0.32515663, 0.43245775, 0.9026356]","[0.7172497, 0.22426197, 0.19817984]",A
"[0.6966267, 0.95111674, 0.4153766]","[0.32974273, 0.90539145, 0.9403171]","[0.76918983, 0.56698024, 0.12987259]",B
"[0.6966267, 0.95111674, 0.4153766]","[0.32974273, 0.90539145, 0.9403171]","[0.76918983, 0.56698024, 0.12987259]",B
"[0.8321975, 0.8617837, 0.23679315]","[0.9011467, 0.6402766, 0.5054164]","[0.18683851, 0.5635141, 0.42118803]",A
"[0.038923953, 0.55621624, 0.4777161]","[0.35263374, 0.341847, 0.5266875]","[0.5275245, 0.8887487, 0.16076888]",B
"[0.038923953, 0.55621624, 0.4777161]","[0.35263374, 0.341847, 0.5266875]","[0.5275245, 0.8887487, 0.16076888]",A
"[0.038923953, 0.55621624, 0.4777161]","[0.35263374, 0.341847, 0.5266875]","[0.5275245, 0.8887487, 0.16076888]",B
"[0.5335394, 0.7079825, 0.7126082]","[0.068098895, 0.9801436, 0.024129212]","[0.6122858, 0.19755998, 0.9497321]",A
"[0.32974273, 0.90539145, 0.9403171]","[0.50752693, 0.54700583, 0.8424472]","[0.6966267, 0.95111674, 0.4153766]",A
"[0.31887108, 0.1789992, 0.6575533]","[0.3119974, 0.21414177, 0.16676499]","[0.8885804, 0.4140083, 0.84983915]",B
"[0.97190976, 0.7223234, 0.013771888]","[0.98835135, 0.44920972, 0.35710877]","[0.497214, 0.922818, 0.19193766]",B
"[0.5522083, 0.4967508, 0.93164885]","[0.15826164, 0.098392874, 0.48622867]","[0.6724963, 0.90819514, 0.90897244]",A
"[0.14140482, 0.9143655, 0.2708043]","[0.32974273, 0.90539145, 0.9403171]","[0.08681668, 0.45154572, 0.06846358]",A
"[0.14140482, 0.9143655, 0.2708043]","[0.32974273, 0.90539145, 0.9403171]","[0.08681668, 0.45154572, 0.06846358]",B
"[0.14140482, 0.9143655, 0.2708043]","[0.32974273, 0.90539145, 0.9403171]","[0.08681668, 0.45154572, 0.06846358]",B
"[0.4753412, 0.5144095, 0.81104153]","[0.8154512, 0.08802052, 0.39238828]","[0.025073424, 0.8471594, 0.8947564]",B
"[0.12089826, 0.6731252, 0.599244]","[0.4753412, 0.5144095, 0.81104153]","[0.8321975, 0.8617837, 0.23679315]",A
"[0.21480255, 0.00859621, 0.994584]","[0.8885804, 0.4140083, 0.84983915]","[0.7920771, 0.13039273, 0.34111333]",B
"[0.9140818, 0.3155932, 0.7198629]","[0.29549316, 0.102463484, 0.6072666]","[0.56271434, 0.7566047, 0.78924096]",A
"[0.26342574, 0.7732298, 0.07658452]","[0.5014136, 0.41783476, 0.24419636]","[0.53922975, 0.96229935, 0.9733129]",A
"[0.8763286, 0.7984114, 0.4995156]","[0.6029109, 0.36375144, 0.053270213]","[0.32974273, 0.90539145, 0.9403171]",B
"[0.8763286, 0.7984114, 0.4995156]","[0.6029109, 0.36375144, 0.053270213]","[0.32974273, 0.90539145, 0.9403171]",B
"[0.58504486, 0.045495007, 0.57382613]","[0.1812331, 0.46383455, 0.511654]","[0.89692104, 0.025175614, 0.15255296]",B
"[0.37976, 0.96580267, 0.7022499]","[0.33970612, 0.6430791, 0.7499834]","[0.80302256, 0.6565454, 0.25379497]",A
"[0.37976, 0.96580267, 0.7022499]","[0.33970612, 0.6430791, 0.7499834]","[0.80302256, 0.6565454, 0.25379497]",B
"[0.37976, 0.96580267, 0.7022499]","[0.33970612, 0.6430791, 0.7499834]","[0.80302256, 0.6565454, 0.25379497]",A
"[0.85387, 0.53965026, 0.6400624]","[0.58504486, 0.045495007, 0.57382613]","[0.92709637, 0.850472, 0.6870642]",A
"[0.025073424, 0.8471594, 0.8947564]","[0.46170282, 0.83219963, 0.31599724]","[0.4753412, 0.5144095, 0.81104153]",A
"[0.5275245, 0.8887487, 0.16076888]","[0.08681668, 0.45154572, 0.06846358]","[0.53922975, 0.96229935, 0.9733129]",A
"[0.94765127, 0.14166592, 0.76632893]","[0.25101936, 0.37662706, 0.7107585]","[0.944158, 0.50727785, 0.38381076]",B
"[0.3592506, 0.6933119, 0.43746603]","[0.41945854, 0.42017844, 0.45480406]","[0.9498392, 0.76067525, 0.17588964]",B
"[0.34708855, 0.08160601, 0.78739214]","[0.13269946, 0.12509939, 0.11618965]","[0.8885804, 0.4140083, 0.84983915]",B
"[0.17688525, 0.8247852, 0.14289168]","[0.32974273, 0.90539145, 0.9403171]","[0.66720814, 0.53104997, 0.08668244]",A
"[0.020601574, 0.48937497, 0.2632074]","[0.56271434, 0.7566047, 0.78924096]","[0.497214, 0.922818, 0.19193766]",B
"[0.4407458, 0.72861594, 0.68126744]","[0.5725548, 0.5111045, 0.52071786]","[0.91083246, 0.95828944, 0.117792174]",A
"[0.4407458, 0.72861594, 0.68126744]","[0.5725548, 0.5111045, 0.52071786]","[0.91083246, 0.95828944, 0.117792174]",A
"[0.38322264, 0.32284674, 0.084623836]","[0.4140223, 0.16002995, 0.23108673]","[0.69059557, 0.6879127, 0.14478163]",B
"[0.7457113, 0.0014647553, 0.32611135]","[0.9366884, 0.60497946, 0.87751925]","[0.13269946, 0.12509939, 0.11618965]",B
"[0.09192578, 0.58360547, 0.97143435]","[0.038923953, 0.55621624, 0.4777161]","[0.042419, 0.17182842, 0.8599372]",A
"[0.09192578, 0.58360547, 0.97143435]","[0.038923953, 0.55621624, 0.4777161]","[0.042419, 0.17182842, 0.8599372]",B
"[0.5894863, 0.68062294, 0.20521614]","[0.38322264, 0.32284674, 0.084623836]","[0.40742022, 0.80481064, 0.82033205]",A
"[0.5894863, 0.68062294, 0.20521614]","[0.38322264, 0.32284674, 0.084623836]","[0.40742022, 0.80481064, 0.82033205]",B
"[0.8885804, 0.4140083, 0.84983915]","[0.21480255, 0.00859621, 0.994584]","[0.944158, 0.50727785, 0.38381076]",A
"[0.28937697, 0.9873757, 0.44673032]","[0.9498392, 0.76067525, 0.17588964]","[0.020601574, 0.48937497, 0.2632074]",B
"[0.25101936, 0.37662706, 0.7107585]","[0.17063561, 0.7369464, 0.85190135]","[0.5967504, 0.119044825, 0.2613132]",A
"[0.91083246, 0.95828944, 0.117792174]","[0.11108111, 0.93442583, 0.8366468]","[0.8859242, 0.5586524, 0.19003625]",A
"[0.6122858, 0.19755998, 0.9497321]","[0.23432058, 0.093496986, 0.1821003]","[0.56271434, 0.7566047, 0.78924096]",B
"[0.6122858, 0.19755998, 0.9497321]","[0.23432058, 0.093496986, 0.1821003]","[0.56271434, 0.7566047, 0.78924096]",A
"[0.7544277, 0.356213, 0.47587034]","[0.65037405, 0.45632163, 0.1840022]","[0.21480255, 0.00859621, 0.994584]",A
"[0.40742022, 0.80481064, 0.82033205]","[0.6135129, 0.82978636, 0.10169392]","[0.5522083, 0.4967508, 0.93164885]",A
"[0.65037405, 0.45632163, 0.1840022]","[0.7544277, 0.356213, 0.47587034]","[0.86110914, 0.89714235, 0.36464837]",A
"[0.05884486, 0.8824717, 0.518694]","[0.18792461, 0.42869225, 0.00048396457]","[0.17063561, 0.7369464, 0.85190135]",A
"[0.15280199, 0.31071624, 0.8876364]","[0.019405942, 0.6082768, 0.66517204]","[0.7457113, 0.0014647553, 0.32611135]",B
"[0.15280199, 0.31071624, 0.8876364]","[0.019405942, 0.6082768, 0.66517204]","[0.7457113, 0.0014647553, 0.32611135]",B
"[0.15280199, 0.31071624, 0.8876364]","[0.019405942, 0.6082768, 0.66517204]","[0.7457113, 0.0014647553, 0.32611135]",B
"[0.98391765, 0.11503519, 0.64809823]","[0.8504969, 0.18649714, 0.02228447]","[0.0048259264, 0.31905168, 0.947834]",B
"[0.98391765, 0.11503519, 0.64809823]","[0.8504969, 0.18649714, 0.02228447]","[0.0048259264, 0.31905168, 0.947834]",B
"[0.98391765, 0.11503519, 0.64809823]","[0.8504969, 0.18649714, 0.02228447]","[0.0048259264, 0.31905168, 0.947834]",B
"[0.9928214, 0.84142554, 0.98834544]","[0.75804514, 0.9947512, 0.87399185]","[0.9023496, 0.26987457, 0.40740585]",B
"[0.9928214, 0.84142554, 0.98834544]","[0.75804514, 0.9947512, 0.87399185]","[0.9023496, 0.26987457, 0.40740585]",A
"[0.042419, 0.17182842, 0.8599372]","[0.09192578, 0.58360547, 0.97143435]","[0.7457113, 0.0014647553, 0.32611135]",B
